Image name & no.,Estate,Name,Vintage,Volume [ml],Lot Size,Picked,Recorked,Authentication code,Packaging,Wine Description (Highlights of vintage),Rating 1,Rating 2,Rating 3
99,Château d'Yquem,Sauternes,1997,750,1,Yes,No,40,OWC - 6 bottle,,Wine Advocate - 95/100,Jancis Robinson - 18/20,
100,Château d'Yquem,Sauternes,1997,750,1,Yes,No,37,OWC - 6 bottle,,Wine Advocate - 95/100,Jancis Robinson - 18/20,
101,Château d'Yquem,Sauternes,1997,750,1,Yes,No,39,OWC - 6 bottle,,Wine Advocate - 95/100,Jancis Robinson - 18/20,
102,Château d'Yquem,Sauternes,1997,750,1,Yes,No,41,OWC - 6 bottle,,Wine Advocate - 95/100,Jancis Robinson - 18/20,
103,Château d'Yquem,Sauternes,1997,750,1,Yes,No,42,OWC - 6 bottle,,Wine Advocate - 95/100,Jancis Robinson - 18/20,
104,Château d'Yquem,Sauternes,1997,750,1,Yes,No,38,OWC - 6 bottle,,Wine Advocate - 95/100,Jancis Robinson - 18/20,
105,Château d'Yquem,Sauternes,1998,750,1,Yes,No,169,OWC - 6 bottle,,Jancis Robinson - 18/20,Wine Advocate - 95/100,
106,Château d'Yquem,Sauternes,1998,750,1,Yes,No,170,OWC - 6 bottle,,Jancis Robinson - 18/20,Wine Advocate - 95/100,
107,Château d'Yquem,Sauternes,1998,750,1,Yes,No,168,OWC - 6 bottle,,Jancis Robinson - 18/20,Wine Advocate - 95/100,
108,Château d'Yquem,Sauternes,1998,750,1,Yes,No,165,OWC - 6 bottle,,Jancis Robinson - 18/20,Wine Advocate - 95/100,
109,Château d'Yquem,Sauternes,1998,750,1,Yes,No,167,OWC - 6 bottle,,Jancis Robinson - 18/20,Wine Advocate - 95/100,
110,Château d'Yquem,Sauternes,1998,750,1,Yes,No,166,OWC - 6 bottle,,Jancis Robinson - 18/20,Wine Advocate - 95/100,
111,Château d'Yquem,Sauternes,1999,375,1,Yes,No,88,OWC - 12 bottle case,,Jancis Robinson - 17.5/20,Wine Advocate - 92/100,
112,Château d'Yquem,Sauternes,1999,375,1,Yes,No,79,OWC - 12 bottle case,,Jancis Robinson - 17.5/20,Wine Advocate - 92/100,
113,Château d'Yquem,Sauternes,1999,375,1,Yes,No,82,OWC - 12 bottle case,,Jancis Robinson - 17.5/20,Wine Advocate - 92/100,
114,Château d'Yquem,Sauternes,1999,375,1,Yes,No,81,OWC - 12 bottle case,,Jancis Robinson - 17.5/20,Wine Advocate - 92/100,
115,Château d'Yquem,Sauternes,1999,375,1,Yes,No,90,OWC - 12 bottle case,,Jancis Robinson - 17.5/20,Wine Advocate - 92/100,
116,Château d'Yquem,Sauternes,1999,375,1,Yes,No,84,OWC - 12 bottle case,,Jancis Robinson - 17.5/20,Wine Advocate - 92/100,
